"","method","est.period","n.win.sector","Ave.CAGR","std.dev","Sharpe.ratio"
"270","Sector Momentum",12,17,0.0735402157385759,0.239377091873423,0.307214926720984
"271","Sector Momentum",12,18,0.0708565770159167,0.236851926161155,0.299159809102441
"272","Sector Momentum",12,19,0.0721486606598383,0.241290141341289,0.299012053533463
"273","Sector Momentum",12,20,0.0724413336250054,0.237240278253455,0.30535006179521
"274","Sector Momentum",12,21,0.0712596682298368,0.239833786431114,0.297121057421593
"275","Sector Momentum",12,22,0.0717584314386662,0.237991763063837,0.301516449623587
"276","Sector Momentum",12,23,0.0701111655255058,0.239174823424213,0.293137732984349
"277","S&P500",1,NA,0.184128606447596,0.578769470618877,0.31813807706669
"278","S&P500",2,NA,0.12429550093996,0.405056693741673,0.306859515866265
"279","S&P500",3,NA,0.0970480059308639,0.3237397059038,0.299771712153535
"280","S&P500",4,NA,0.0840866105411339,0.274499478462236,0.306327032066481
"281","S&P500",5,NA,0.0817148497143475,0.251126144644945,0.325393637647247
"282","S&P500",6,NA,0.0705959928392198,0.226834141335662,0.311222959751698
"283","S&P500",7,NA,0.070616293087422,0.235518738253499,0.299833013759673
"284","S&P500",8,NA,0.064183258384385,0.186299547677858,0.344516447755247
"285","S&P500",9,NA,0.0731160211822943,0.242674317637272,0.301292785714481
"286","S&P500",10,NA,0.0630408629762849,0.197005494541721,0.319995455573115
"287","S&P500",11,NA,0.0506125313799574,0.177973505109589,0.28438239359725
"288","S&P500",12,NA,0.062033032032038,0.184282916900658,0.336618461848411
